Модуль,Unnamed: 1,Подмодуль,Содержание,Статус
,,,"При попытке создать пользователя с тем же именем, который уже имеется в списке, появляется виджет, информирующий об ошибке",passed
,,,"Виджет с информацией об ошибке имеет кнопку ""OK""",passed
,,,Тап по кнопке OK в виджете ошибки закрывает виджет,passed
,,,Тап за пределы виджета об ошибке закрывает виджет,passed
,,,"При отсутствии пользователей есть надпись ""No users found""",passed
Валидация полей,,,,
,,,,
"Страница ""Add Event""",,"Поле ""Event Name""",Ввести в поле  кириллицу  ,passed
,,,Ввести в поле латиницу  ,passed
,,,Ввести в поле  символы верхнего регистра,passed
,,,Ввести в поле  символы нижнего регистра,passed
,,,Ввести в поле  символы верхнего и нижнего регистров,passed
,,,Ввести в поле цифры,passed
,,,Ввести в поле  спец-символы,passed
,,,"Ввести в поле кириллицу, спец-символы",passed
,,,"Ввести в поле латиницу, спец-символы",passed
,,,Оставить текстовое окно пустым,passed
,,,Ввести в поле пробелы,failed
,,,Ввести в поле пробел в начале строки,failed
,,,Ввести в поле пробел в конце строки,failed
,,,Ввести эмодзи,passed
,,,Ввести в поле  минимальное  количество символов + 1,passed
,,,Ввести в поле  минимальное  количество символов - 1,passed
,,,Ввести в поле  максимальное количество символов ,skipped
,,,Ввести в поле  максимальное количество символов  + 1,skipped
,,,Проверка реакции поля на некорректное заполнение (сообщение об ошибке),failed
,,,Ввести в поле  максимальное количество символов  - 1,skipped
,,,Вставить в поле скопированный текст,passed
"Страница ""Добавить людей""",,"Поле ""User Name""",Ввести в поле  кириллицу  ,passed
,,,Ввести в поле латиницу  ,passed
,,,Ввести в поле  символы верхнего регистра,passed
,,,Ввести в поле  символы нижнего регистра,passed
,,,Ввести в поле  символы верхнего и нижнего регистров,passed
,,,Ввести в поле цифры,passed
,,,Ввести в поле  спец-символы,passed
,,,Оставить текстовое окно пустым,passed
,,,"Ввести в поле кириллицу, спец-символы",passed
,,,"Ввести в поле латиницу, спец-символы",passed
,,,Оставить текстовое окно пустым,passed
,,,Ввести в поле пробелы,failed
,,,Ввести в поле пробел в начале строки,failed
,,,Ввести в поле пробел в конце строки,failed
,,,Ввести эмодзи,passed
,,,Ввести в поле  минимальное  количество символов + 1,passed
,,,Ввести в поле  минимальное  количество символов - 1,passed
,,,Ввести в поле  максимальное количество символов ,skipped
,,,Ввести в поле  максимальное количество символов  + 1,skipped
,,,Вставить в поле скопированный текст,passed
,,,Проверка реакции поля на некорректное заполнение (сообщение об ошибке),failed
,,,Ввести в поле  максимальное количество символов  - 1,skipped
"Страница ""Добавить расходы""",,"Числовое поле ""Payment Amount""",Ввести целое положительное число,passed
,,,Ввести положительное число с десятичной точкой,passed
,,,Ввести минимально возможное положительное значение,passed
,,,Ввести отрицательное число,passed
,,,Ввести нуль,passed
,,,Ввести текст вместо чисел,passed
,,,Ввести специальные символы,passed
,,,Ввести пробел,passed
,,,Ввести в поле пробел в начале строки,passed
,,,Ввести в поле пробел в конце строки,passed
,,,Оставить окно пустым,passed
,,,Ввести эмодзи,passed
,,,Ввести в поле очень большое положительное число,passed
,,,Ввести в поле число с очень длинной десятичной частью,passed
,,,Проверка поля на отстутствие автозаполнения,passed
,,,Проверка на отсутствие начального значения в поле,passed
,,,Проверка реакции поля на некорректное заполнение (сообщение об ошибке),failed
,,,Ввести скопированный текст,passed
,,,"Ввести число, очистить поле и снова ввести число",passed
Мобильное тестирование,,,,
Тестирование установки (apk),,Установить приложение (apk),,passed
,,Удалить приложение,,passed
Проверка на прерывание,,Сворачивание/разворачивание приложения,,passed
,,Подключение/отключение зарядного устройства,,passed
,,Подключение/отключение проводных наушников,,passed
,,Входящий вызов,,skipped
,,Входящее сообщение,,skipped
,,Всплывающее уведомление другого приложения,,skipped
,,Скрол тасок на главной странице приложения,,passed
,,Скрол текста в текстовых полях,,passed
,,Изменение ориентации экрана на альбомную и обратно,,passed
,,Заблокировать/разблокировать экран,,passed
,,Проверка приложения на разных версиях Android,,skipped
,,Проверка приложения на разных разрешениях экрана,,skipped
,,,,
,,,,
"Вывод: из 123 проверок было провалено 22 (18%). Критических ошибок, связанных с основной функциональностью, не обнаружено, большая часть ошибок это UI-ошибки. Рекомендуется снизить процент ошибок до 10% перед релизом.",,,,
